date,tweet_id,content,username,retweets,likes,replies;;;
2023-04-07 13:37:01+00:00,1644333458091589639,Hey everyone ich wünsche euch allen schöne #Feiertage / schöne #Ostern ☀️☀️☀️  #ostern2023 #Easter #EasterEggs #osterhase #eggs #hase #Karfreitag #gruendonnerstag #Feiertag #April #spring #frühling #Fruehlingsfest #Osterfeuer #eastern,Bloody_Yvi94,0,4,0;;;
2023-04-07 12:28:23+00:00,1644316185209581569,#Frühlingsfest #Erding 2023 - Das vollständige Programm und die Attraktionen 2023 sind online: https://t.co/eHaS5Fb17E  #FrühlingsfestErding #Frühlingsfest2023 #VolksfestErding,ErdingAktuell,0,0,0;;;
"2023-04-07 11:26:33+00:00,1644300625302175745,""#Stuttgart-er #Frühlingsfest 2023: Das kosten #Riesenrad, #Autoscooter, #Achterbahn und Co.https://t.co/gZmEePWvMr"",StN_News,0,0,0";;;
"2023-04-06 23:12:00+00:00,1644115770748616710,""#WIENSPRING23 Vienna, AUT April 8, 2023 – KIM OKURA, EASTER ACTION 23 “Spring Meadow with Allotment Plot”, spring festival performance #Empowerment #Frühlingsfest #Performance https://t.co/VTloomvzlI"",kimokura,0,0,0";;;
2023-04-06 15:01:32+00:00,1643992341571866629,Das Riesenrad wird aufgebaut #Fruehlingsfest #Muenchen https://t.co/UjXX8uywCb,RAAstridBendiks,2,9,0;;;
"2023-04-06 14:18:45+00:00,1643981572591484930,""Ob jung oder alt, das #Nürnberger #Frühlingsfest zieht seit jeher die #Massen an den #Dutzendteich. Bei einem kühlen #Bier im #Festzelt oder einer wilden #Fahrt in der #Achterbahn kommen alle #Generationen auf ihre Kosten. Hier gibt's einen #Vorgeschmack!  https://t.co/M1Nmw7KPuM"",nordbayern,0,0,1";;;
"2023-04-06 06:37:07+00:00,1643865400587829250,""Das #frühlingsfest #Hannover steht kurz bevor. Vom 08.04.-01.05. gibt’s hier jede Menge #Fahrspass 🎠 und Leckereien, wie gebrannte #Mandeln, #Zuckerwatte, Liebesäpfel und vieles mehr. https://t.co/eTklJ1qs5Y"",hannoverfotogr1,0,1,0";;;
"2023-04-05 11:01:37+00:00,1643569576309866498,""@BayStMWi """"Egal ob #Frühlingsfest oder #Wiesn – wir wollen auch in unseren Festzelten verbandelt sein.""""  Und dank der #Festverordnung der @StadtMuenchen bleibt #tourists &amp";" #Bavarian's die alljährliche #Wiesngrippe AUCH mit #5G erhalten! 🤒🤢 Schwoam mas owe.  https://t.co/h0zpuWnugZ"",KollerRegina,0,0,0";;
2023-04-04 14:01:12+00:00,1643252379498823687,Viaggio a Stoccarda nei weekend di primavera #Stuttgart #stoccarda #germany #weekend #Primavera2023 #viaggio #BadenWuerttemberg  #forestanera #MercedesBenzMuseum #benessere #Frühlingsfest https://t.co/LFTBAi4Db9 Ph. _Stuttgart-Marketing-GmbH_Thomas-Niedermeller https://t.co/gLV5MIvo2a,Agendaviaggi,1,3,0;;;
2023-04-04 13:00:43+00:00,1643237160735199234,Why wait for fall and Oktoberfest when you can celebrate #Spring and Frühlingsfest?! Mark your calendars because #Frühlingsfest is coming to Wunder Garten April 14th!!  🍺 🌷🍻☀️,WundergartenDC,1,0,0;;;
2023-04-03 08:43:10+00:00,1642809958952476673,Alles zum #DEHOGA-#Frühlingsfest 2023 im @HofbraeuZelt : https://t.co/RkQn3XICai https://t.co/GmjushEgAm,DEHOGA_BW,0,1,0;;;
2023-04-03 07:45:55+00:00,1642795551421808642,Zum letzten Tag des Frühlingsfestes gibt die Sonne richtig Vollgas. ☀️😎  Kommt vorbei und genießt das schöne Wetter in der Innnestadt! 🥰  #weidmüller #weidmüllerwelt #detmold #frühlingsfest https://t.co/IySNEplF33,Weidmueller,0,2,0;;;
2023-04-02 14:50:58+00:00,1642540128097665025,🤩 Am #Wochenende hat das #Frühlingsfest der #Schausteller begonnen. 📷 Klickt euch durch unsere Bilder: https://t.co/Dm8XjBCzIw  #meinka #karlsruhe #news #nachrichten #aktuell #bawü #fotogalerie #bilder #mess #kirmes #riesenrad #veranstaltung #event https://t.co/3iMvflStew,meinKA_de,0,0,0;;;
2023-04-02 10:30:14+00:00,1642474513009967104,In der Weidmüller Welt haben auch die Kleinsten Spaß – wir freuen uns auf euch! 🧡  #weidmüller #weidmüllerwelt #detmold #frühlingsfest https://t.co/DJUToTWidK,Weidmueller,1,3,0;;;
2023-04-02 07:30:12+00:00,1642429206062563328,Behaltet ihr eine ruhige Hand?🤔 Bei diesem Spiel ist echtes Geschick gefragt. 🤓  Probiert es aus und besucht uns heute in der Weidmüller Welt. 😊  #weidmüller #weidmüllerwelt #detmold #frühlingsfest https://t.co/pMxEeZdR6F,Weidmueller,0,2,0;;;
2023-04-02 00:21:40+00:00,1642321364127485952,#Frühlingsfest und #VerkaufsoffenerSonntag in #Gerolzhofen https://t.co/6oH6UNYkVq,ThorstenWozniak,0,0,0;;;
2023-04-01 07:30:14+00:00,1642066829337083906,Genug vom grauen Himmel? Wir läuten den Frühling ein! ☀️  Kommt zum Frühlingsfest in die Detmolder Innenstadt - mit köstlichem Popcorn. 🍿💐  #weidmüller #weidmüllerwelt #detmold #frühlingsfest https://t.co/lyhn1hMI75,Weidmueller,0,0,0;;;
2023-03-31 13:02:31+00:00,1641788060583985155,Frühlingsfest in der Detmolder Innenstadt – die Weidmüller Welt ist dabei! 💐🌺  Kommt vorbei und testet eure Geschicklichkeit beim SNAP IN-Spiel. 🦾😊  #weidmüller #weidmüllerwelt #detmold #frühlingsfest https://t.co/dgS8SMThMa,Weidmueller,0,3,0;;;
2023-03-31 12:33:24+00:00,1641780735429287944,Gestern trafen sich aus Anlaß des #Frühlingsfest|es der @AfD_FraktionBB die Vorsitzenden der mittel- und ostdeutschen #AfD-Landtagsfraktionen zu ihrem regelmäßigen Austausch in Potsdam. Als Ergebnis verabschiedeten sie die #PotsdamerErklärung.   https://t.co/cmMqS6tktQ,DerRechteAnwalt,1,18,1;;;
2023-03-31 10:00:00+00:00,1641742128605966336,🤩 Morgen beginnt das Frühlingsfest der Schausteller auf dem #Messplatz! Hier gibt's alle #Informationen für euch. ⬇️ https://t.co/SZdlHtiJ8c  #meinka #karlsruhe #news #nachrichten #aktuell #bawü #mess #frühlingsfest #kerwe #kirmes #karussell #riesenrad #schausteller,meinKA_de,0,0,0;;;
"2023-03-31 06:01:00+00:00,1641681982462758915,""Am 1. April 2023 wird in #Chemnitz das #Brühl #Boulevard #Frühlingsfest  gefeiert. Ihr könnt euch auf zahlreiche Osterbastelangebote, eine Hüpfburg für die Kleinen und schöne Frühjahrsmode freuen. (Foto: Instagram/#bruehlboulevard) https://t.co/w1Ly4UnXOC"",ErlebnisErzVog,0,0,0";;;
2023-03-30 13:42:50+00:00,1641435820874936321,@BayStMWi Danke für die Info!  Ein Grund dann das #Frühlingsfest und die #Wiesn zu  meiden. Fällt dann auch unter #Gesundheitsschutz,superkalifragi4,0,3,0;;;
2023-03-30 07:35:45+00:00,1641343439060062209,Vom 22. April bis 14. Mai 2023 läuft das #Stuttgarter #Frühlingsfest. Wir haben für euch den Überblick und alles wichtige über das Frühlingsfest auf einen Blick.   Zum Artikel ➡️ https://t.co/ojlRKh8ooy https://t.co/gDJV0fIPT5,stuggitv,0,0,0;;;
2023-03-29 09:47:56+00:00,1641014318668959744,Ein Prosit auf 5G! 🍻 Egal ob #Frühlingsfest oder #Wiesn – wir wollen auch in unseren Festzelten verbandelt sein.  Wie viel #5G brauchst du? 📶 #bspricht5g https://t.co/BkHBB1vc4f,BayStMWi,1,30,12;;;
"2023-04-13 05:41:45+00:00,1646388180776615936,""Als we maar een reden hebben voor een feestje, toch? 🍻 https://t.co/BhHzuKBkdg  #Koningsdag2023 #Kingsday #Oranjefeest #OrangeDay #Netherlands #Holland #DutchTraditions #RoyalFamily #Amsterdam #bier #maxima #Maxima #WillemAlexander #koningshuis #KINGDOM #beer #RoyalsFamily https://t.co/RUw6rZWP5J"",CBeezzz,0,0,1";;;
2023-04-07 21:55:40+00:00,1644458946277539840,Donderdag 27-04 Koningsdag - 20/21-04 Koningsspelen https://t.co/sMBDKOqawN  #Nederland #Earringsoftheday  #Earrings #Earringslover #Handmadeearrings #Koningsdag #Koningsdag2023 #Kingsday #Oranjefeest #OrangeDay #Netherlands #Holland #DutchTraditions #RoyalFamily #Amsterdam https://t.co/rbHCz92UsG,CBeezzz,0,1,0;;;
2023-04-04 17:47:10+00:00,1643309247571058689,More of these vibes coming up @  #UrbanMusicLegendsFestival #Amsterdam #Kingsday #party #StreysDeDj 🤩😍❤️💗💕 https://t.co/DOpIuL4zLb,DesIngez,0,0,0;;;
2023-04-03 21:01:30+00:00,1642995763402756096,#Paris You've been amazing to us 💕 #Roadtrip with my #Dj #StreysdeDj  Next stop: #Kingsday #Amsterdam #urbanmusiclegendsfestival https://t.co/gbnIa7dRxr,DesIngez,0,2,1;;;
"2023-03-29 14:32:44+00:00,1641085988968574976,""📣 New Podcast! """"Action on electric bikes, landlords selling &amp";" King's Day fests must slim down"""" on @Spreaker #amsterdam #amsterdamnews #electricbikes #housingcrisis #kingsday https://t.co/gHSv3NLbXF"",BRAMRADIO,0,0,0";;
2023-04-15 19:34:56+00:00,1647322633581600770,@VIMworld_Fam @cz_binance @BSCNews @bsc_daily @Bschainprojects @coinbase @CoinMarketCap @Cointelegraph @coingecko @opensea @openseapro #Dutch 🇳🇱 #KingsDay #VimBoxes #EGGs #VIMworld $VEED $POWA 🚀🚀💪🏽 https://t.co/JJR9U48Jtb,FerCrypto,0,1,0;;;
